"id_cliente;renda;profissao;val_compra;val_venda;tm_compra;tm_venda;acoes;acoes_dif;ativo_m1;ligou_cr_m1"
"620608328;De 10 a 15k;A;0;32675,30775;;27,22942312;12900;29;1;0"
"278119222;De 5 a 10k;A;0;8534,031075;;21,33507769;3200;14;1;0"
"319157913;De 5 a 10k;C;24337,56212;0;24,33756212;;15400;84;1;1"
"219895304;De 15 a 20k;A;27603,25351;0;23,00271126;;28800;90;1;0"
"837274808;De 0 a 5k;C;0;5707,992066;;14,26998016;4100;7;1;0"
"599281857;De 5 a 10k;B;0;0;;;9800;19;1;0"
"758927922;De 15 a 20k;C;0;36100,19964;;22,56262477;16000;58;1;0"
"683511744;De 0 a 5k;C;0;0;;;6200;23;1;0"
"416795471;De 0 a 5k;C;3304,251768;0;11,01417256;;4600;11;1;0"
"134722501;De 5 a 10k;A;0;10549,2506;;10,5492506;15200;86;1;0"
"992315782;De 10 a 15k;C;0;25331,61112;;21,10967593;15900;28;1;0"
"872759990;De 15 a 20k;A;0;0;;;36800;67;1;0"
"267451881;De 5 a 10k;B;0;9875,445566;;24,68861392;7400;17;1;0"
"584651235;De 0 a 5k;A;0;7529,663065;;25,09887688;5000;10;1;0"
"333258457;De 0 a 5k;C;9486,423948;2840,050329;23,71605987;28,40050329;7000;52;1;0"
"465992665;De 5 a 10k;C;0;0;;;15800;39;1;0"
"289194971;De 0 a 5k;A;3015,365738;11207,56385;10,05121913;28,01890961;8500;16;1;0"
"814579852;De 10 a 15k;A;0;29291,9816;;19,52798773;24900;94;1;0"
"586279747;De 10 a 15k;A;3968,596482;0;13,22865494;;6600;19;1;0"
"362152631;De 15 a 20k;A;0;37756,8773;;23,59804831;36800;109;1;1"
"258075022;De 0 a 5k;B;8883,316193;7392,673557;29,61105398;24,64224519;8500;24;1;1"
"830774490;De 5 a 10k;C;10133,29295;22164,11837;16,88882159;22,16411837;15600;65;1;0"
"164434446;De 0 a 5k;A;3912,813416;1679,352229;13,04271139;16,79352229;3800;8;1;1"
"546503543;De 5 a 10k;C;10132,28974;0;25,33072436;;14200;45;1;0"
"726791969;De 0 a 5k;B;5944,507827;0;19,81502609;;1800;11;1;0"
"673040116;De 15 a 20k;B;37524,19153;24041,66375;23,4526197;20,03471979;5200;28;1;0"
"368737974;De 0 a 5k;B;5418,496193;10094,78206;27,09248096;25,23695514;7300;15;1;0"
"688540699;De 5 a 10k;A;2680,763328;12302,34892;13,40381664;12,30234892;800;4;1;1"
"165885988;De 0 a 5k;C;5511,33855;1472,487783;11,0226771;14,72487783;8000;14;1;1"
"976802500;De 5 a 10k;B;20978,44352;11978,00307;26,2230544;11,97800307;19200;63;1;1"
"652460200;De 10 a 15k;C;0;0;;;17700;48;0;1"
"290993131;De 0 a 5k;B;7706,300295;0;25,68766765;;1000;4;1;0"
"406581629;De 5 a 10k;B;9124,487232;10313,94406;22,81121808;25,78486016;19200;69;1;0"
"771531746;De 0 a 5k;A;10778,88088;10667,35518;26,94720219;21,33471035;2900;7;1;1"
"812751144;De 10 a 15k;B;0;5174,895886;;17,24965295;9300;20;1;1"
"451032300;De 5 a 10k;C;4562,261847;13440,95484;22,81130924;16,80119355;9600;22;1;0"
"251377654;De 5 a 10k;A;0;11425,78067;;19,04296778;15600;127;1;0"
"945356175;De 0 a 5k;A;0;11863,89174;;23,72778348;300;1;1;0"
"179063529;De 5 a 10k;B;11020,13743;24806,19228;13,77517179;24,80619228;800;6;1;1"
"668011613;De 5 a 10k;C;0;0;;;8200;52;1;0"
"395574217;De 0 a 5k;B;2332,344646;7190,664503;23,32344646;17,97666126;500;1;1;1"
"425611218;De 0 a 5k;C;7670,742189;0;25,56914063;;9200;68;1;0"
"730544758;De 5 a 10k;B;5443,934565;0;27,21967282;;12200;51;1;0"
"377325255;De 5 a 10k;C;0;11906,47149;;14,88308936;9000;32;1;0"
"454863708;De 0 a 5k;B;4938,033545;2427,125694;12,34508386;12,13562847;2000;6;1;0"
"512135717;De 0 a 5k;A;0;1324,840638;;13,24840638;8400;20;1;0"
"754179850;De 10 a 15k;C;17851,73579;30607,04501;14,8764465;25,50587084;22500;67;1;0"
"269368875;De 5 a 10k;C;12668,93377;0;15,83616721;;1800;5;1;0"
"740976853;De 0 a 5k;C;0;3613,582588;;18,06791294;6000;20;1;1"
"312438854;De 5 a 10k;A;2279,035056;9699,190914;11,39517528;24,24797729;3800;8;1;1"
"934969954;De 5 a 10k;A;0;9683,377754;;24,20844439;10600;24;1;0"
"183314433;De 0 a 5k;B;0;5141,050992;;12,85262748;9800;21;1;0"
"286729739;De 5 a 10k;B;22726,28249;16299,03946;22,72628249;27,16506576;6000;29;1;0"
"270179842;De 10 a 15k;B;8069,846864;35285,93288;26,89948955;29,40494407;11700;55;1;0"
"501970650;De 0 a 5k;C;4827,155702;0;12,06788926;;5200;12;1;0"
"724184270;De 5 a 10k;B;0;16798,75228;;20,99844035;9800;38;1;0"
"219913821;De 0 a 5k;B;0;0;;;4100;18;0;0"
"513430116;De 0 a 5k;B;0;0;;;7600;24;0;1"
"940240143;De 0 a 5k;B;6600,601272;5235,732465;13,20120254;17,45244155;4100;11;1;1"
"748693643;De 5 a 10k;B;14920,48188;0;14,92048188;;4600;9;1;0"
"132482475;De 0 a 5k;A;0;0;;;4200;9;0;1"
"699403370;De 5 a 10k;B;12609,65966;5724,892205;15,76207457;28,62446103;2800;7;1;0"
"960862731;De 0 a 5k;C;0;2984,504801;;14,92252401;4700;19;1;0"
"546900654;De 0 a 5k;A;0;0;;;9700;37;0;0"
"930532229;De 0 a 5k;C;0;0;;;6400;12;0;1"
"607382588;De 5 a 10k;A;20017,94522;6253,179995;25,02243152;15,63294999;8800;18;1;0"
"132506692;De 5 a 10k;A;25374,8103;16395,49056;25,3748103;20,49436321;19600;107;1;1"
"803771589;De 0 a 5k;B;0;2099,059633;;20,99059633;5700;22;0;1"
"855878895;De 5 a 10k;B;0;13520,49676;;13,52049676;11600;28;1;0"
"446195745;De 0 a 5k;B;7027,574621;0;14,05514924;;6600;17;1;0"
"302417885;De 15 a 20k;C;0;9917,160539;;24,79290135;15200;44;1;0"
"527541489;De 0 a 5k;C;3472,858578;0;11,57619526;;2500;5;1;0"
"959255385;De 0 a 5k;A;2884,628725;0;28,84628725;;2300;11;0;1"
"474001336;De 0 a 5k;A;3842,720314;5884,980856;19,21360157;14,71245214;1600;6;1;0"
"266331254;De 0 a 5k;C;0;5413,531603;;10,82706321;9800;18;1;0"
"576578396;De 0 a 5k;A;4044,676288;10588,4308;13,48225429;21,1768616;2400;8;1;0"
"474762953;De 0 a 5k;A;5612,209525;10959,93208;14,03052381;27,39983021;3800;7;1;0"
"711082056;De 0 a 5k;C;6998,068595;6687,498367;17,49517149;13,37499673;7100;42;1;1"
"704933786;De 0 a 5k;B;0;0;;;3200;19;0;1"
"917191450;De 0 a 5k;C;0;0;;;7200;16;0;1"
"566729216;De 10 a 15k;B;44115,84809;0;29,41056539;;23100;54;1;0"
"141043845;De 5 a 10k;A;0;4201,343053;;21,00671526;5000;11;1;0"
"106512958;De 10 a 15k;C;0;0;;;29700;86;1;0"
"106708344;De 5 a 10k;C;20670,50153;0;20,67050153;;4000;16;1;0"
"791781088;De 0 a 5k;B;6808,704071;5729,59863;22,69568024;19,0986621;1300;3;1;1"
"566784060;De 5 a 10k;B;0;0;;;5400;16;0;0"
"976579343;De 5 a 10k;A;0;0;;;800;1;1;1"
"991029157;De 0 a 5k;B;9848,895763;3780,524784;19,69779153;18,90262392;3200;8;1;0"
"446719359;De 0 a 5k;C;11450,6229;0;22,9012458;;2300;12;1;1"
"485252379;De 0 a 5k;C;2803,578533;5683,015584;28,03578533;11,36603117;2900;11;1;0"
"622010014;De 5 a 10k;A;0;0;;;18400;49;1;0"
"253985079;De 10 a 15k;C;0;0;;;6300;44;0;1"
"216245666;De 0 a 5k;C;0;3425,102739;;17,1255137;8900;18;1;0"
"258367077;De 10 a 15k;C;14010,41737;0;23,35069561;;23700;61;1;0"
"560879074;De 10 a 15k;A;0;17376,78892;;14,48065743;24000;207;1;1"
"934045340;De 15 a 20k;C;26650,84676;53069,73886;22,20903897;26,53486943;20800;36;1;0"
"833223213;De 5 a 10k;A;0;0;;;1800;7;1;0"
"859755465;De 0 a 5k;C;7161,591554;9776,662672;14,32318311;19,55332534;6900;64;1;0"
"778127439;De 10 a 15k;B;4302,02038;0;14,34006793;;22200;39;1;0"
"479313616;De 0 a 5k;C;0;1003,776309;;10,03776309;6300;28;0;1"
"327472439;De 15 a 20k;C;33266,18741;0;16,6330937;;24000;70;1;0"
"680124173;De 5 a 10k;B;0;7994,695294;;13,32449216;4400;35;1;0"
"754085633;De 5 a 10k;A;0;12387,8634;;20,64643899;5800;55;1;0"
"847568089;De 15 a 20k;B;17562,66527;31435,00046;10,9766658;15,71750023;34000;183;1;0"
"461761348;De 0 a 5k;B;8284,599888;3961,211872;27,61533296;13,20403957;8900;32;1;0"
"209004756;De 0 a 5k;B;3588,036388;6607,173704;11,96012129;16,51793426;5400;13;1;1"
"836414541;De 0 a 5k;B;6522,506413;2984,845362;13,04501283;29,84845362;3900;8;1;0"
"713020081;De 0 a 5k;B;6853,594991;5703,46973;22,84531664;19,01156577;3600;9;1;1"
"336162009;De 10 a 15k;A;3709,296396;22020,54041;12,36432132;14,68036027;22800;94;1;0"
"494448361;De 10 a 15k;B;23738,06299;0;19,78171916;;7500;13;1;0"
"264208726;De 0 a 5k;A;8712,262932;1454,017974;29,04087644;14,54017974;6300;49;1;0"
"897330069;De 5 a 10k;B;9028,290964;0;22,57072741;;17600;35;1;0"
"925184521;De 10 a 15k;B;16633,88159;30618,14849;13,86156799;25,51512374;300;1;1;1"
"477866264;De 0 a 5k;B;0;1325,322494;;13,25322494;8400;42;1;0"
"862111288;De 0 a 5k;A;0;8615,370067;;28,71790022;4200;7;1;0"
"828694592;De 0 a 5k;C;2156,060812;3676,487762;10,78030406;18,38243881;2300;12;1;0"
"650847154;De 0 a 5k;A;2738,368242;1467,402869;27,38368242;14,67402869;9500;18;1;0"
"553865139;De 5 a 10k;A;0;13355,25983;;13,35525983;5600;17;1;0"
"181861754;De 0 a 5k;C;8961,76086;9372,855616;29,8725362;23,43213904;5500;26;1;0"
"497684750;De 0 a 5k;A;7084,318355;0;23,61439452;;3700;13;1;0"
"591861883;De 10 a 15k;C;4126,616699;35072,93586;13,755389;23,38195724;16500;58;1;0"
"981093695;De 0 a 5k;C;0;1981,484563;;19,81484563;5400;12;0;1"
"425827666;De 5 a 10k;B;0;5637,731467;;14,09432867;3400;7;1;0"
"406206938;De 10 a 15k;C;0;0;;;24300;118;1;0"
"447408881;De 0 a 5k;B;2807,172072;1111,182907;28,07172072;11,11182907;3400;10;0;1"
"762946130;De 10 a 15k;A;12131,85934;0;20,21976557;;2100;7;1;0"
"461037617;De 0 a 5k;C;4552,515156;5272,885357;22,76257578;26,36442678;5800;27;1;0"
"457858046;De 0 a 5k;C;0;0;;;1000;2;0;1"
"424625970;De 0 a 5k;A;7957,391024;0;26,52463675;;9600;18;1;0"
"369731841;De 0 a 5k;B;0;0;;;6800;37;0;1"
"266229441;De 0 a 5k;A;0;0;;;200;1;0;1"
"481292148;De 0 a 5k;B;0;3568,929146;;17,84464573;800;2;1;0"
"428332961;De 15 a 20k;B;0;8438,563178;;10,54820397;31200;66;1;0"
"785204614;De 5 a 10k;C;0;4745,22614;;11,86306535;9000;80;1;0"
"664226323;De 0 a 5k;C;0;11801,94688;;29,50486719;2100;4;1;0"
"161131958;De 5 a 10k;C;0;5447,997351;;27,23998675;10400;24;1;0"
"819259976;De 5 a 10k;C;5826,304931;7134,985265;14,56576233;17,83746316;6800;18;1;0"
"169423162;De 0 a 5k;A;5481,285821;9840,54372;27,4064291;24,6013593;8600;20;1;1"
"827910952;De 10 a 15k;B;40100,852;8221,904649;26,73390133;13,70317441;4800;29;1;0"
"930559703;De 15 a 20k;B;54683,1699;26127,64882;27,34158495;21,77304068;8400;70;1;0"
"196870970;De 5 a 10k;C;0;4851,222262;;24,25611131;7800;17;1;0"
"150630900;De 0 a 5k;A;3075,66216;2875,852435;15,3783108;28,75852435;4800;16;1;0"
"627829974;De 0 a 5k;A;6839,788469;7329,824512;22,7992949;24,43274837;6600;16;1;0"
"493432791;De 0 a 5k;A;13415,2596;0;26,8305192;;900;2;1;0"
"398640836;De 5 a 10k;C;11845,18748;0;14,80648435;;3000;16;1;0"
"751824919;De 10 a 15k;A;24591,6583;4135,229113;16,39443887;13,78409704;3600;12;1;0"
"738878274;De 5 a 10k;C;11846,59548;0;29,61648871;;4400;9;1;0"
"453183423;De 5 a 10k;C;16777,61888;0;16,77761888;;3400;15;1;1"
"745801617;De 0 a 5k;B;5266,301835;13094,31291;26,33150918;26,18862582;7800;14;1;0"
"692326556;De 0 a 5k;A;11773,58824;7308,884326;29,4339706;18,27221081;4100;9;1;0"
"576845075;De 0 a 5k;C;4519,22815;0;15,06409383;;5500;33;1;1"
"475014228;De 5 a 10k;C;16782,82702;5339,976107;16,78282702;26,69988053;10600;37;1;0"
"451447752;De 5 a 10k;B;0;14067,19102;;23,44531837;1200;2;1;0"
"508021492;De 10 a 15k;C;0;25901,80603;;21,58483836;7200;64;1;1"
"256990483;De 10 a 15k;C;17339,34058;7022,885691;19,26593398;23,40961897;6300;12;1;0"
"196436671;De 10 a 15k;B;0;42010,34916;;28,00689944;28500;209;1;0"
"360092774;De 5 a 10k;C;8457,969697;4051,611859;21,14492424;20,25805929;600;4;1;0"
"695569360;De 0 a 5k;A;4600,885744;0;11,50221436;;600;1;1;0"
"349890282;De 5 a 10k;B;0;10854,28714;;13,56785893;12400;26;1;0"
"144895373;De 10 a 15k;C;11724,83301;6367,735928;19,54138834;10,61289321;15300;26;1;0"
"953031034;De 10 a 15k;B;20753,48741;0;13,83565827;;1200;4;1;1"
"568552787;De 0 a 5k;B;0;4669,519493;;15,56506498;1500;4;0;1"
"699954530;De 5 a 10k;C;6445,046523;12664,0927;10,7417442;15,83011588;14200;30;1;1"
"754534334;De 5 a 10k;C;29606,91958;11031,9308;29,60691958;13,7899135;4400;23;1;0"
"724387037;De 0 a 5k;B;5492,933518;9712,116229;13,7323338;19,42423246;9600;36;1;0"
"233587003;De 0 a 5k;C;14104,66451;4746,965786;28,20932902;23,73482893;3700;11;1;0"
"577196241;De 5 a 10k;C;0;16987,13871;;28,31189784;10800;61;1;0"
"217646652;De 5 a 10k;B;18101,94399;12400,58266;18,10194399;15,50072832;14800;26;1;0"
"146664602;De 10 a 15k;C;24579,12671;0;27,31014079;;9000;39;1;0"
"110941047;De 5 a 10k;B;0;15034,79531;;18,79349413;13200;27;1;0"
"980330909;De 0 a 5k;C;0;0;;;4600;23;0;0"
"743710421;De 0 a 5k;B;4499,226493;7870,265374;11,24806623;26,23421791;3300;9;1;0"
"618105122;De 10 a 15k;B;17381,21569;9196,047864;28,96869281;15,32674644;20400;63;1;0"
"301124189;De 5 a 10k;B;25185,86074;0;25,18586074;;7800;21;1;0"
"220408656;De 0 a 5k;B;3384,190677;3975,549463;16,92095339;19,87774731;1900;4;1;0"
"873095097;De 5 a 10k;A;21800,21434;0;27,25026793;;7000;18;1;0"
"449378736;De 0 a 5k;B;0;4231,21074;;14,1040358;8800;18;1;0"
"384643712;De 10 a 15k;C;0;32670,10485;;21,7800699;6600;14;1;1"
"225629845;De 5 a 10k;A;0;3962,504458;;19,81252229;11200;19;1;0"
"198008549;De 15 a 20k;B;0;0;;;2000;4;0;0"
"537149058;De 0 a 5k;A;0;9668,56857;;19,33713714;6000;53;1;0"
"626176406;De 15 a 20k;B;50151,69695;36481,31593;25,07584847;18,24065797;36000;68;1;0"
"273383127;De 10 a 15k;C;19122,61348;0;21,24734831;;7500;32;1;0"
"613988527;De 10 a 15k;C;16106,31934;0;17,89591038;;15000;57;1;1"
"253458772;De 5 a 10k;A;11890,62544;2392,888803;14,8632818;11,96444401;18600;52;1;0"
"548647934;De 10 a 15k;A;0;0;;;15600;63;1;0"
"536186073;De 0 a 5k;A;3164,084412;0;15,82042206;;7200;43;1;0"
"387071663;De 0 a 5k;B;10867,80764;1411,244338;27,16951911;14,11244338;9400;20;1;0"
"278233323;De 0 a 5k;A;12000,29933;8436,019077;24,00059867;28,12006359;6600;26;1;1"
"912688216;De 0 a 5k;C;4897,863495;0;24,48931747;;5400;16;1;0"
"792855347;De 0 a 5k;B;10835,91913;0;21,67183826;;9900;30;1;0"
"120433622;De 0 a 5k;A;0;2429,756473;;24,29756473;9500;16;1;0"
"794555145;De 10 a 15k;B;13176,58127;0;21,96096879;;16800;48;1;0"
"964751749;De 0 a 5k;C;9998,993657;5752,096683;24,99748414;14,38024171;2400;4;1;1"
"500185200;De 5 a 10k;A;8399,920366;15362,5368;13,99986728;15,3625368;6600;16;1;0"
"270772067;De 5 a 10k;B;4844,558698;0;24,22279349;;4800;19;1;0"
"106494636;De 0 a 5k;A;12622,94697;0;25,24589395;;100;1;1;0"
"996889894;De 5 a 10k;C;13067,29712;14028,06476;13,06729712;14,02806476;11400;23;1;1"
"555913687;De 0 a 5k;A;0;4888,847074;;16,29615691;9600;20;1;0"
"250972392;De 0 a 5k;B;11515,95488;0;23,03190977;;5100;9;1;0"
"892168856;De 0 a 5k;A;0;8178,657997;;27,26219332;5300;12;1;0"
"684325026;De 15 a 20k;B;45527,19692;40616,21524;28,45449808;25,38513452;32800;243;1;0"
"642975694;De 0 a 5k;B;2768,499006;0;27,68499006;;2500;5;0;1"
"436490380;De 10 a 15k;C;0;15866,61177;;10,57774118;10200;28;1;0"
"608721385;De 10 a 15k;A;13088,30572;15018,48733;10,90692143;25,03081222;26700;98;1;1"
"291959088;De 5 a 10k;A;0;0;;;11200;29;1;0"
"529262617;De 0 a 5k;A;0;1207,789797;;12,07789797;4500;14;0;1"
"443106679;De 5 a 10k;C;22818,13024;0;28,5226628;;15800;29;1;0"
"852455458;De 10 a 15k;A;37361,48654;17085,1849;24,90765769;14,23765408;3900;12;1;0"
"107493948;De 0 a 5k;C;0;0;;;1300;3;0;1"
"497754097;De 0 a 5k;B;0;0;;;600;1;0;1"
"647355348;De 0 a 5k;B;5025,918761;2480,24768;10,05183752;24,8024768;9400;34;1;0"
"242070533;De 0 a 5k;B;7938,770248;2612,160502;26,46256749;13,06080251;300;1;1;0"
"648239154;De 5 a 10k;A;0;22268,59633;;27,83574542;15800;28;1;0"
"512753797;De 15 a 20k;B;4320,473072;36491,30585;10,80118268;22,80706616;5200;21;1;0"
"570160350;De 5 a 10k;B;9447,371804;0;23,61842951;;2800;7;1;0"
"527173408;De 0 a 5k;A;0;2697,488481;;26,97488481;2400;6;1;0"
"710071083;De 15 a 20k;C;16061,5482;17343,99828;20,07693525;14,4533319;28800;96;1;0"
"963153169;De 5 a 10k;A;13432,94416;11225,74493;16,7911802;14,03218116;11800;22;1;0"
"156343222;De 0 a 5k;B;0;7572,396989;;15,14479398;8100;23;1;0"
"219517920;De 15 a 20k;A;0;0;;;11200;38;0;1"
"945982744;De 10 a 15k;B;9391,636551;21926,7274;10,43515172;24,36303044;14700;43;1;0"
"598160460;De 0 a 5k;A;6040,199506;0;20,13399835;;3500;14;1;0"
"801715924;De 10 a 15k;C;23223,90591;0;19,35325492;;12000;68;1;0"
"804660153;De 10 a 15k;B;15399,25954;0;17,11028838;;9300;36;1;0"
"359208806;De 10 a 15k;A;0;32991,18601;;27,49265501;4800;16;1;1"
"368303243;De 0 a 5k;B;0;4647,141454;;15,49047151;6500;27;1;1"
"228822711;De 5 a 10k;C;15720,56456;0;26,20094093;;200;0;1;0"
"361633604;De 5 a 10k;B;17828,00507;18483,48438;22,28500634;18,48348438;18000;37;1;1"
"117728402;De 10 a 15k;B;29957,7912;9692,047215;24,964826;10,76894135;3300;9;1;0"
"406444981;De 0 a 5k;C;0;0;;;4500;8;0;1"
"741010502;De 10 a 15k;A;26337,63335;0;17,55842223;;13800;24;1;0"
"699206501;De 10 a 15k;C;0;8926,916573;;29,75638858;21900;69;1;0"
"354889471;De 0 a 5k;C;12723,42468;0;25,44684936;;1200;9;1;0"
"567958640;De 5 a 10k;C;19935,45451;0;24,91931813;;3000;7;1;1"
"408671298;De 0 a 5k;B;0;1775,255609;;17,75255609;7600;60;1;0"
"916441173;De 0 a 5k;B;1534,433589;0;15,34433589;;10000;22;1;1"
"135735634;De 0 a 5k;A;9749,4886;0;19,4989772;;6100;10;1;0"
"932354321;De 5 a 10k;A;23937,8723;13859,33251;23,9378723;23,09888752;5400;22;1;0"
"756466873;De 0 a 5k;B;0;8556,223271;;28,52074424;4200;8;1;0"
"271842340;De 0 a 5k;C;5757,661748;10813,45093;28,78830874;27,03362734;400;1;1;1"
"577312382;De 5 a 10k;B;7661,482061;0;19,15370515;;7400;27;1;0"
"560414681;De 10 a 15k;A;42374,38699;0;28,24959132;;17700;53;1;0"
"881787616;De 0 a 5k;A;0;9536,074306;;19,07214861;2700;21;1;1"
"867832679;De 0 a 5k;C;0;8346,136686;;16,69227337;2100;20;1;0"
"956917357;De 5 a 10k;C;9505,663082;0;23,7641577;;2000;4;1;0"
"169142539;De 5 a 10k;A;25743,92478;0;25,74392478;;11400;24;1;0"
"800627558;De 15 a 20k;B;0;0;;;22800;62;1;0"
"849225989;De 0 a 5k;C;0;6029,259423;;15,07314856;7900;29;1;1"
"394409698;De 5 a 10k;A;22055,99913;13708,84393;27,56999892;17,13605491;13600;24;1;0"
"264918559;De 5 a 10k;A;2572,648138;0;12,86324069;;18600;38;1;0"
"171900284;De 10 a 15k;A;22187,63112;44142,47945;14,79175408;29,42831963;9600;47;1;0"
"623219760;De 0 a 5k;B;6677,204115;0;22,25734705;;3900;12;0;0"
"385963986;De 5 a 10k;A;6971,265206;0;11,61877534;;6400;27;1;0"
"959719500;De 5 a 10k;C;0;16241,6641;;27,06944017;15200;56;1;1"
"350186353;De 0 a 5k;C;0;3228,702073;;10,76234024;6300;12;0;1"
"469613670;De 5 a 10k;A;19191,02596;21198,79258;19,19102596;26,49849072;2000;7;1;0"
"762412654;De 5 a 10k;C;14965,5636;18533,32762;14,9655636;18,53332762;8200;23;1;0"
"659312541;De 0 a 5k;B;0;3005,024553;;10,01674851;7600;14;1;0"
"653296191;De 5 a 10k;A;3156,312413;0;15,78156207;;1000;7;1;0"
"108706974;De 0 a 5k;A;3295,598067;2542,66458;16,47799034;25,4266458;200;0;1;0"
"771685398;De 0 a 5k;A;0;0;;;1000;9;0;1"
"486985587;De 0 a 5k;C;7924,985044;9685,985622;26,41661681;19,37197124;6700;12;1;1"
"756495254;De 5 a 10k;B;0;4151,175297;;10,37793824;6200;14;1;0"
"244108549;De 0 a 5k;C;2816,464085;0;28,16464085;;6100;10;0;1"
"654908225;De 10 a 15k;B;7872,649201;16960,65155;13,121082;28,26775258;3600;29;1;0"
"271658024;De 5 a 10k;A;0;7551,44357;;18,87860892;4600;17;1;0"
"984003936;De 5 a 10k;A;4440,091238;12004,47293;22,20045619;20,00745488;16600;31;1;0"
"410266495;De 0 a 5k;B;0;11502,06723;;23,00413447;7500;16;1;1"
"324921871;De 0 a 5k;A;0;0;;;6600;24;1;0"
"988661176;De 0 a 5k;C;9011,083448;0;18,0221669;;2000;3;1;0"
"508910560;De 5 a 10k;B;16909,19708;0;21,13649635;;5400;42;1;0"
